Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,EventName,SessionType,EventDate,Time_weather,AirTemp,TrackTemp,Humidity,AvgSpeed,MaxThrottle,AvgBrake
VER,1,,1.0,1.0,,,,30.958,43.532,,0 days 00:46:39.762000,0 days 00:47:23.314000,278.0,271.0,256.0,310.0,False,MEDIUM,4.0,False,Red Bull Racing,2738.934,2024-04-20 03:04:02.541,1,3.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
OCO,31,,1.0,1.0,,,,32.745,45.939,,0 days 00:46:44.663000,0 days 00:47:30.498000,261.0,269.0,252.0,310.0,False,MEDIUM,1.0,True,Alpine,2738.934,2024-04-20 03:04:02.541,1,16.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
HAM,44,,1.0,1.0,,,,29.894,43.468,,0 days 00:46:38.077000,0 days 00:47:21.632000,275.0,269.0,252.0,308.0,False,MEDIUM,1.0,True,Mercedes,2738.934,2024-04-20 03:04:02.541,1,1.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
BOT,77,,1.0,1.0,,,,32.489,45.728,,0 days 00:46:42.607000,0 days 00:47:28.369000,283.0,273.0,254.0,316.0,False,MEDIUM,5.0,False,Kick Sauber,2738.934,2024-04-20 03:04:02.541,1,11.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
GAS,10,,1.0,1.0,,,,32.88,46.529,,0 days 00:46:44.663000,0 days 00:47:31.133000,281.0,261.0,247.0,317.0,False,MEDIUM,1.0,True,Alpine,2738.934,2024-04-20 03:04:02.541,1,17.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
PER,11,,1.0,1.0,,,,31.597,43.771,,0 days 00:46:40.830000,0 days 00:47:24.505000,280.0,271.0,252.0,314.0,False,MEDIUM,4.0,False,Red Bull Racing,2738.934,2024-04-20 03:04:02.541,1,5.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
RIC,3,,1.0,1.0,,,,32.399,45.728,,0 days 00:46:43.396000,0 days 00:47:29.082000,289.0,269.0,255.0,318.0,False,MEDIUM,4.0,False,RB,2738.934,2024-04-20 03:04:02.541,1,13.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
TSU,22,,1.0,1.0,,,,33.048,46.153,,0 days 00:46:45.271000,0 days 00:47:31.517000,278.0,272.0,251.0,320.0,False,MEDIUM,1.0,True,RB,2738.934,2024-04-20 03:04:02.541,1,18.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
MAG,20,,1.0,1.0,,,,32.175,45.657,,0 days 00:46:42.402000,0 days 00:47:27.964000,274.0,270.0,253.0,314.0,False,MEDIUM,5.0,False,Haas F1 Team,2738.934,2024-04-20 03:04:02.541,1,10.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
HUL,27,,1.0,1.0,,,,32.614,45.624,,0 days 00:46:44.073000,0 days 00:47:29.677000,285.0,267.0,253.0,323.0,False,MEDIUM,5.0,False,Haas F1 Team,2738.934,2024-04-20 03:04:02.541,1,14.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
ZHO,24,,1.0,1.0,,,,31.766,45.389,,0 days 00:46:42,0 days 00:47:27.446000,276.0,262.0,253.0,312.0,False,MEDIUM,5.0,False,Kick Sauber,2738.934,2024-04-20 03:04:02.541,1,9.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
ALB,23,,1.0,1.0,,,,32.807,46.717,,0 days 00:46:44.999000,0 days 00:47:31.810000,280.0,269.0,255.0,311.0,False,MEDIUM,7.0,False,Williams,2738.934,2024-04-20 03:04:02.541,1,19.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
LEC,16,,1.0,1.0,,,,31.586,43.894,,0 days 00:46:41.126000,0 days 00:47:25.044000,284.0,265.0,257.0,314.0,False,MEDIUM,5.0,False,Ferrari,2738.934,2024-04-20 03:04:02.541,1,6.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
RUS,63,,1.0,1.0,,,,32.221,45.735,,0 days 00:46:42.944000,0 days 00:47:28.798000,284.0,266.0,253.0,314.0,False,SOFT,1.0,True,Mercedes,2738.934,2024-04-20 03:04:02.541,1,12.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
SAR,2,,1.0,1.0,,,,32.886,46.716,,0 days 00:46:45.713000,0 days 00:47:32.499000,267.0,270.0,254.0,317.0,False,MEDIUM,7.0,False,Williams,2738.934,2024-04-20 03:04:02.541,1,20.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
PIA,81,,1.0,1.0,,,,31.757,45.204,,0 days 00:46:41.594000,0 days 00:47:26.909000,286.0,273.0,253.0,309.0,False,MEDIUM,4.0,False,McLaren,2738.934,2024-04-20 03:04:02.541,1,8.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
NOR,4,,1.0,1.0,,,,31.765,44.593,,0 days 00:46:41.378000,0 days 00:47:26.070000,286.0,271.0,253.0,310.0,False,MEDIUM,1.0,True,McLaren,2738.934,2024-04-20 03:04:02.541,1,7.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
SAI,55,,1.0,1.0,,,,30.98,43.635,,0 days 00:46:40.144000,0 days 00:47:23.611000,275.0,265.0,256.0,316.0,False,MEDIUM,1.0,True,Ferrari,2738.934,2024-04-20 03:04:02.541,1,4.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
ALO,14,,1.0,1.0,,,,30.527,43.339,,0 days 00:46:39.063000,0 days 00:47:22.342000,278.0,269.0,254.0,310.0,False,MEDIUM,4.0,False,Aston Martin,2738.934,2024-04-20 03:04:02.541,1,2.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
STR,18,,1.0,1.0,,,,32.963,45.608,,0 days 00:46:44.663000,0 days 00:47:30.122000,282.0,268.0,253.0,320.0,False,MEDIUM,4.0,False,Aston Martin,2738.934,2024-04-20 03:04:02.541,1,15.0,False,,False,False,Chinese Grand Prix,S,2024-04-21,2737.245,20.0,27.0,68.0,,,
HAM,44,100.626,2.0,1.0,,,26.936,30.305,43.385,0 days 00:47:48.442000,0 days 00:48:18.747000,0 days 00:49:02.132000,274.0,268.0,254.0,309.0,True,MEDIUM,2.0,True,Mercedes,2841.464,2024-04-20 03:05:45.071,1,1.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
ALO,14,100.651,2.0,1.0,,,26.935,30.452,43.264,0 days 00:47:49.211000,0 days 00:48:19.663000,0 days 00:49:02.927000,273.0,270.0,262.0,321.0,True,MEDIUM,5.0,False,Aston Martin,2842.23,2024-04-20 03:05:45.837,1,2.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
VER,1,101.5,2.0,1.0,,,26.958,30.34,44.202,0 days 00:47:50.148000,0 days 00:48:20.488000,0 days 00:49:04.690000,267.0,259.0,258.0,296.0,True,MEDIUM,5.0,False,Red Bull Racing,2843.159,2024-04-20 03:05:46.766,1,3.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
SAI,55,101.391,2.0,1.0,,,27.121,30.494,43.776,0 days 00:47:50.732000,0 days 00:48:21.226000,0 days 00:49:05.002000,,271.0,256.0,331.0,True,MEDIUM,2.0,True,Ferrari,2843.595,2024-04-20 03:05:47.202,1,4.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
PER,11,101.49,2.0,1.0,,,27.124,30.745,43.621,0 days 00:47:51.441000,0 days 00:48:22.186000,0 days 00:49:05.807000,274.0,269.0,256.0,313.0,True,MEDIUM,5.0,False,Red Bull Racing,2844.284,2024-04-20 03:05:47.891,1,5.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
LEC,16,101.729,2.0,1.0,,,27.35,30.927,43.452,0 days 00:47:52.218000,0 days 00:48:23.145000,0 days 00:49:06.597000,274.0,267.0,264.0,327.0,True,MEDIUM,6.0,False,Ferrari,2844.81,2024-04-20 03:05:48.417,1,6.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
NOR,4,101.42,2.0,1.0,,,27.049,30.71,43.661,0 days 00:47:52.910000,0 days 00:48:23.620000,0 days 00:49:07.281000,273.0,271.0,262.0,332.0,True,MEDIUM,2.0,True,McLaren,2845.809,2024-04-20 03:05:49.416,1,7.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
PIA,81,101.964,2.0,1.0,,,27.227,30.851,43.886,0 days 00:47:53.949000,0 days 00:48:24.800000,0 days 00:49:08.686000,272.0,270.0,255.0,311.0,True,MEDIUM,5.0,False,McLaren,2846.703,2024-04-20 03:05:50.310,1,8.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
ZHO,24,102.217,2.0,1.0,,,27.421,30.929,43.867,0 days 00:47:54.760000,0 days 00:48:25.689000,0 days 00:49:09.556000,275.0,266.0,260.0,327.0,True,MEDIUM,6.0,False,Kick Sauber,2847.322,2024-04-20 03:05:50.929,1,9.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
MAG,20,103.109,2.0,1.0,,,27.507,31.338,44.264,0 days 00:47:55.466000,0 days 00:48:26.804000,0 days 00:49:11.068000,276.0,268.0,255.0,313.0,True,MEDIUM,6.0,False,Haas F1 Team,2847.906,2024-04-20 03:05:51.513,1,10.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
BOT,77,103.239,2.0,1.0,,,27.629,31.551,44.059,0 days 00:47:55.848000,0 days 00:48:27.399000,0 days 00:49:11.458000,279.0,270.0,262.0,332.0,True,MEDIUM,6.0,False,Kick Sauber,2848.177,2024-04-20 03:05:51.784,1,11.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
RUS,63,103.304,2.0,1.0,,,27.522,31.566,44.216,0 days 00:47:56.188000,0 days 00:48:27.754000,0 days 00:49:11.970000,279.0,270.0,262.0,338.0,True,SOFT,2.0,True,Mercedes,2848.626,2024-04-20 03:05:52.233,1,12.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
RIC,3,103.322,2.0,1.0,,,27.851,31.544,43.927,0 days 00:47:56.842000,0 days 00:48:28.386000,0 days 00:49:12.313000,279.0,273.0,263.0,334.0,True,MEDIUM,5.0,False,RB,2848.96,2024-04-20 03:05:52.567,1,13.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
HUL,27,104.21,2.0,1.0,,,27.595,31.908,44.707,0 days 00:47:57.091000,0 days 00:48:28.999000,0 days 00:49:13.706000,282.0,263.0,261.0,333.0,True,MEDIUM,6.0,False,Haas F1 Team,2849.461,2024-04-20 03:05:53.068,1,15.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
STR,18,103.188,2.0,1.0,,,27.552,31.72,43.916,0 days 00:47:57.509000,0 days 00:48:29.229000,0 days 00:49:13.145000,281.0,274.0,262.0,346.0,True,MEDIUM,5.0,False,Aston Martin,2849.948,2024-04-20 03:05:53.555,1,14.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
OCO,31,103.97,2.0,1.0,,,27.576,31.72,44.674,0 days 00:47:58.002000,0 days 00:48:29.722000,0 days 00:49:14.396000,271.0,266.0,259.0,324.0,True,MEDIUM,2.0,True,Alpine,2850.426,2024-04-20 03:05:54.033,1,16.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
GAS,10,104.068,2.0,1.0,,,27.557,31.726,44.785,0 days 00:47:58.539000,0 days 00:48:30.265000,0 days 00:49:15.050000,273.0,265.0,251.0,329.0,True,MEDIUM,2.0,True,Alpine,2850.94,2024-04-20 03:05:54.547,1,17.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
TSU,22,103.932,2.0,1.0,,,27.594,31.701,44.637,0 days 00:47:59.012000,0 days 00:48:30.713000,0 days 00:49:15.350000,,271.0,259.0,332.0,True,MEDIUM,2.0,True,RB,2851.372,2024-04-20 03:05:54.979,1,18.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
ALB,23,104.345,2.0,1.0,,,27.883,31.831,44.631,0 days 00:47:59.526000,0 days 00:48:31.357000,0 days 00:49:15.988000,262.0,271.0,259.0,336.0,True,MEDIUM,8.0,False,Williams,2851.61,2024-04-20 03:05:55.217,1,19.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
SAR,2,104.328,2.0,1.0,,,27.652,32.236,44.44,0 days 00:47:59.995000,0 days 00:48:32.231000,0 days 00:49:16.671000,272.0,268.0,264.0,333.0,True,MEDIUM,8.0,False,Williams,2852.296,2024-04-20 03:05:55.903,1,20.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2857.244,20.0,27.5,68.0,,,
HAM,44,100.42,3.0,1.0,,,26.967,30.232,43.221,0 days 00:49:29.099000,0 days 00:49:59.331000,0 days 00:50:42.552000,272.0,269.0,253.0,312.0,True,MEDIUM,3.0,True,Mercedes,2942.09,2024-04-20 03:07:25.697,1,1.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2917.242,20.0,27.5,68.0,,,
ALO,14,100.537,3.0,1.0,,,26.81,30.655,43.072,0 days 00:49:29.737000,0 days 00:50:00.392000,0 days 00:50:43.464000,277.0,269.0,261.0,332.0,True,MEDIUM,6.0,False,Aston Martin,2942.881,2024-04-20 03:07:26.488,1,2.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2917.242,20.0,27.5,68.0,,,
VER,1,100.331,3.0,1.0,,,26.925,30.256,43.15,0 days 00:49:31.615000,0 days 00:50:01.871000,0 days 00:50:45.021000,265.0,262.0,257.0,315.0,True,MEDIUM,6.0,False,Red Bull Racing,2944.659,2024-04-20 03:07:28.266,1,3.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2917.242,20.0,27.5,68.0,,,
SAI,55,100.996,3.0,1.0,,,26.92,30.914,43.162,0 days 00:49:31.922000,0 days 00:50:02.836000,0 days 00:50:45.998000,279.0,271.0,261.0,332.0,True,MEDIUM,3.0,True,Ferrari,2944.986,2024-04-20 03:07:28.593,1,4.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2917.242,20.0,27.5,68.0,,,
PER,11,101.238,3.0,1.0,,,27.162,30.626,43.45,0 days 00:49:32.969000,0 days 00:50:03.595000,0 days 00:50:47.045000,267.0,261.0,257.0,332.0,True,MEDIUM,6.0,False,Red Bull Racing,2945.774,2024-04-20 03:07:29.381,1,5.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2917.242,20.0,27.5,68.0,,,
LEC,16,101.319,3.0,1.0,,,27.157,30.958,43.204,0 days 00:49:33.754000,0 days 00:50:04.712000,0 days 00:50:47.916000,278.0,265.0,263.0,332.0,True,MEDIUM,7.0,False,Ferrari,2946.539,2024-04-20 03:07:30.146,1,6.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2917.242,20.0,27.5,68.0,,,
NOR,4,101.267,3.0,1.0,,,26.617,31.125,43.525,0 days 00:49:33.898000,0 days 00:50:05.023000,0 days 00:50:48.548000,284.0,271.0,264.0,332.0,True,MEDIUM,3.0,True,McLaren,2947.229,2024-04-20 03:07:30.836,1,7.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2917.242,20.0,27.5,68.0,,,
PIA,81,101.107,3.0,1.0,,,27.143,30.634,43.33,0 days 00:49:35.829000,0 days 00:50:06.463000,0 days 00:50:49.793000,,269.0,258.0,313.0,True,MEDIUM,6.0,False,McLaren,2948.667,2024-04-20 03:07:32.274,1,8.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2977.237,20.0,27.4,68.0,,,
ZHO,24,102.011,3.0,1.0,,,27.144,30.973,43.894,0 days 00:49:36.700000,0 days 00:50:07.673000,0 days 00:50:51.567000,271.0,264.0,254.0,306.0,True,MEDIUM,7.0,False,Kick Sauber,2949.539,2024-04-20 03:07:33.146,1,9.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2977.237,20.0,27.4,68.0,,,
MAG,20,102.897,3.0,1.0,,,27.241,31.425,44.231,0 days 00:49:38.309000,0 days 00:50:09.734000,0 days 00:50:53.965000,272.0,264.0,262.0,313.0,True,MEDIUM,7.0,False,Haas F1 Team,2951.015,2024-04-20 03:07:34.622,1,11.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2977.237,20.0,27.4,68.0,,,
BOT,77,103.089,3.0,1.0,,,27.408,31.908,43.773,0 days 00:49:38.866000,0 days 00:50:10.774000,0 days 00:50:54.547000,277.0,266.0,261.0,331.0,True,MEDIUM,7.0,False,Kick Sauber,2951.416,2024-04-20 03:07:35.023,1,12.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2977.237,20.0,27.4,68.0,,,
RUS,63,101.572,3.0,1.0,,,27.056,31.335,43.181,0 days 00:49:39.026000,0 days 00:50:10.361000,0 days 00:50:53.542000,283.0,270.0,254.0,333.0,True,SOFT,3.0,True,Mercedes,2951.93,2024-04-20 03:07:35.537,1,10.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2977.237,20.0,27.4,68.0,,,
RIC,3,102.843,3.0,1.0,,,27.447,31.622,43.774,0 days 00:49:39.760000,0 days 00:50:11.382000,0 days 00:50:55.156000,,270.0,261.0,336.0,True,MEDIUM,6.0,False,RB,2952.282,2024-04-20 03:07:35.889,1,13.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2977.237,20.0,27.4,68.0,,,
STR,18,102.534,3.0,1.0,,,27.12,31.345,44.069,0 days 00:49:40.265000,0 days 00:50:11.610000,0 days 00:50:55.679000,280.0,274.0,264.0,341.0,True,MEDIUM,6.0,False,Aston Martin,2953.136,2024-04-20 03:07:36.743,1,14.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2977.237,20.0,27.4,68.0,,,
HUL,27,102.811,3.0,1.0,,,27.085,31.704,44.022,0 days 00:49:40.791000,0 days 00:50:12.495000,0 days 00:50:56.517000,279.0,270.0,262.0,335.0,True,MEDIUM,7.0,False,Haas F1 Team,2953.671,2024-04-20 03:07:37.278,1,15.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2977.237,20.0,27.4,68.0,,,
OCO,31,102.985,3.0,1.0,,,27.053,31.507,44.425,0 days 00:49:41.449000,0 days 00:50:12.956000,0 days 00:50:57.381000,269.0,261.0,260.0,326.0,True,MEDIUM,3.0,True,Alpine,2954.396,2024-04-20 03:07:38.003,1,16.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2977.237,20.0,27.4,68.0,,,
GAS,10,103.017,3.0,1.0,,,27.115,31.97,43.932,0 days 00:49:42.165000,0 days 00:50:14.135000,0 days 00:50:58.067000,271.0,258.0,260.0,330.0,True,MEDIUM,3.0,True,Alpine,2955.008,2024-04-20 03:07:38.615,1,17.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2977.237,20.0,27.4,68.0,,,
TSU,22,103.905,3.0,1.0,,,27.284,31.927,44.694,0 days 00:49:42.634000,0 days 00:50:14.561000,0 days 00:50:59.255000,,267.0,256.0,333.0,True,MEDIUM,3.0,True,RB,2955.304,2024-04-20 03:07:38.911,1,18.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2977.237,20.0,27.4,68.0,,,
ALB,23,104.048,3.0,1.0,,,27.426,31.922,44.7,0 days 00:49:43.414000,0 days 00:50:15.336000,0 days 00:51:00.036000,270.0,266.0,262.0,332.0,True,MEDIUM,9.0,False,Williams,2955.955,2024-04-20 03:07:39.562,1,19.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2977.237,20.0,27.4,68.0,,,
SAR,2,103.871,3.0,1.0,,,27.332,32.32,44.219,0 days 00:49:44.003000,0 days 00:50:16.323000,0 days 00:51:00.542000,266.0,266.0,264.0,330.0,True,MEDIUM,9.0,False,Williams,2956.624,2024-04-20 03:07:40.231,1,20.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,2977.237,20.0,27.4,68.0,,,
HAM,44,100.481,4.0,1.0,,,26.989,30.192,43.3,0 days 00:51:09.541000,0 days 00:51:39.733000,0 days 00:52:23.033000,271.0,268.0,256.0,311.0,False,MEDIUM,4.0,True,Mercedes,3042.51,2024-04-20 03:09:06.117,1,1.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
ALO,14,100.979,4.0,1.0,,,26.808,30.778,43.393,0 days 00:51:10.272000,0 days 00:51:41.050000,0 days 00:52:24.443000,275.0,268.0,256.0,311.0,False,MEDIUM,7.0,False,Aston Martin,3043.418,2024-04-20 03:09:07.025,1,2.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
VER,1,100.748,4.0,1.0,,,26.874,30.532,43.342,0 days 00:51:11.895000,0 days 00:51:42.427000,0 days 00:52:25.769000,276.0,261.0,257.0,311.0,False,MEDIUM,7.0,False,Red Bull Racing,3044.99,2024-04-20 03:09:08.597,1,3.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
SAI,55,100.962,4.0,1.0,,,26.911,30.707,43.344,0 days 00:51:12.909000,0 days 00:51:43.616000,0 days 00:52:26.960000,277.0,270.0,257.0,311.0,True,MEDIUM,4.0,True,Ferrari,3045.982,2024-04-20 03:09:09.589,1,4.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
PER,11,101.065,4.0,1.0,,,27.016,30.603,43.446,0 days 00:51:14.061000,0 days 00:51:44.664000,0 days 00:52:28.110000,,268.0,257.0,313.0,True,MEDIUM,7.0,False,Red Bull Racing,3047.012,2024-04-20 03:09:10.619,1,5.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
LEC,16,101.003,4.0,1.0,,,26.88,30.864,43.259,0 days 00:51:14.796000,0 days 00:51:45.660000,0 days 00:52:28.919000,274.0,265.0,264.0,328.0,True,MEDIUM,8.0,False,Ferrari,3047.858,2024-04-20 03:09:11.465,1,6.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
NOR,4,100.951,4.0,1.0,,,26.674,31.027,43.25,0 days 00:51:15.222000,0 days 00:51:46.249000,0 days 00:52:29.499000,272.0,270.0,266.0,331.0,True,MEDIUM,4.0,True,McLaren,3048.496,2024-04-20 03:09:12.103,1,7.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
PIA,81,101.405,4.0,1.0,,,27.204,30.66,43.541,0 days 00:51:16.997000,0 days 00:51:47.657000,0 days 00:52:31.198000,267.0,263.0,258.0,306.0,False,MEDIUM,7.0,False,McLaren,3049.774,2024-04-20 03:09:13.381,1,8.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
ZHO,24,101.502,4.0,1.0,,,27.239,30.603,43.66,0 days 00:51:18.806000,0 days 00:51:49.409000,0 days 00:52:33.069000,275.0,266.0,256.0,309.0,True,MEDIUM,8.0,False,Kick Sauber,3051.55,2024-04-20 03:09:15.157,1,9.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
RUS,63,101.715,4.0,1.0,,,27.147,30.852,43.716,0 days 00:51:20.689000,0 days 00:51:51.541000,0 days 00:52:35.257000,270.0,267.0,255.0,310.0,False,SOFT,4.0,True,Mercedes,3053.502,2024-04-20 03:09:17.109,1,10.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
MAG,20,102.654,4.0,1.0,,,27.37,31.556,43.728,0 days 00:51:21.335000,0 days 00:51:52.891000,0 days 00:52:36.619000,274.0,266.0,257.0,313.0,True,MEDIUM,8.0,False,Haas F1 Team,3053.912,2024-04-20 03:09:17.519,1,11.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
BOT,77,102.559,4.0,1.0,,,27.354,31.394,43.811,0 days 00:51:21.901000,0 days 00:51:53.295000,0 days 00:52:37.106000,272.0,267.0,262.0,331.0,True,MEDIUM,8.0,False,Kick Sauber,3054.505,2024-04-20 03:09:18.112,1,12.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
RIC,3,102.444,4.0,1.0,,,27.242,31.466,43.736,0 days 00:51:22.398000,0 days 00:51:53.864000,0 days 00:52:37.600000,280.0,266.0,262.0,330.0,True,MEDIUM,7.0,False,RB,3055.125,2024-04-20 03:09:18.732,1,13.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
STR,18,102.548,4.0,1.0,,,27.134,31.551,43.863,0 days 00:51:22.813000,0 days 00:51:54.364000,0 days 00:52:38.227000,273.0,271.0,263.0,336.0,False,MEDIUM,7.0,False,Aston Martin,3055.67,2024-04-20 03:09:19.277,1,14.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
HUL,27,102.375,4.0,1.0,,,27.161,31.287,43.927,0 days 00:51:23.678000,0 days 00:51:54.965000,0 days 00:52:38.892000,278.0,271.0,265.0,337.0,True,MEDIUM,8.0,False,Haas F1 Team,3056.482,2024-04-20 03:09:20.089,1,15.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
OCO,31,102.191,4.0,1.0,,,27.034,31.156,44.001,0 days 00:51:24.415000,0 days 00:51:55.571000,0 days 00:52:39.572000,270.0,262.0,262.0,326.0,True,MEDIUM,4.0,True,Alpine,3057.381,2024-04-20 03:09:20.988,1,16.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
GAS,10,102.017,4.0,1.0,,,27.175,31.101,43.741,0 days 00:51:25.242000,0 days 00:51:56.343000,0 days 00:52:40.084000,270.0,261.0,262.0,330.0,True,MEDIUM,4.0,True,Alpine,3058.025,2024-04-20 03:09:21.632,1,17.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
TSU,22,102.056,4.0,1.0,,,26.98,30.98,44.096,0 days 00:51:26.235000,0 days 00:51:57.215000,0 days 00:52:41.311000,275.0,268.0,228.0,334.0,True,MEDIUM,4.0,True,RB,3059.209,2024-04-20 03:09:22.816,1,18.0,False,,False,True,Chinese Grand Prix,S,2024-04-21,3037.243,20.0,27.3,68.0,,,
