fecha,temp_max,temp_min,estación
2025-09-09,30.2,6.5,TERMAS DE RIO HONDO AERO
2025-09-09,29.0,3.5,TINOGASTA
2025-09-09,21.5,4.6,TRELEW AERO
2025-09-09,23.0,7.0,TRENQUE LAUQUEN
2025-09-09,22.0,2.2,TRES ARROYOS
2025-09-09,30.4,8.2,TUCUMAN AERO
2025-09-09,7.1,3.0,USHUAIA AERO
2025-09-09,25.6,2.0,USPALLATA
2025-09-09,22.5,5.2,VENADO TUERTO AERO
2025-09-09,27.6,6.0,VICTORICA
2025-09-09,22.6,1.5,VIEDMA AERO
2025-09-09,26.6,4.6,VILLA DE MARIA DEL RIO SECO
2025-09-09,28.3,7.4,VILLA DOLORES AERO
2025-09-09,18.6,2.8,VILLA GESELL AERO
2025-09-09,29.2,0.5,VILLA REYNOLDS AERO
2025-09-08,16.5,12.0,AEROPARQUE AERO
2025-09-08,17.4,0.8,AZUL AERO
2025-09-08,20.8,7.3,BAHIA BLANCA AERO
2025-09-08,10.1,4.2,BARILOCHE AERO
2025-09-08,13.5,-22.8,BASE BELGRANO II
2025-09-08,-3.0,-13.0,BASE CARLINI (EX JUBANY)
2025-09-08,11.0,-20.7,BASE ESPERANZA
2025-09-08,14.8,-25.7,BASE MARAMBIO
2025-09-08,21.2,-25.0,BASE ORCADAS
2025-09-08,-9.1,-17.9,BASE SAN MARTIN
2025-09-08,17.6,2.4,BENITO JUAREZ
2025-09-08,23.4,15.0,BERNARDO DE IRIGOYEN AERO
2025-09-08,18.6,4.2,BOLIVAR AERO
2025-09-08,20.0,12.0,BUENOS AIRES OBSERVATORIO
2025-09-08,18.8,6.9,CAMPO DE MAYO AERO
2025-09-08,27.0,7.4,CATAMARCA AERO
2025-09-08,21.0,8.6,CERES AERO
2025-09-08,25.5,7.5,CHAMICAL AERO
2025-09-08,11.2,4.0,CHAPELCO AERO
2025-09-08,23.0,7.8,CHEPES
2025-09-08,17.8,3.5,CHILECITO AERO
2025-09-08,16.8,3.9,COMODORO RIVADAVIA AERO
2025-09-08,20.7,10.5,CONCORDIA AERO
2025-09-08,21.9,3.5,CORDOBA AERO
2025-09-08,23.0,6.4,CORDOBA OBSERVATORIO
2025-09-08,19.2,-0.3,CORONEL SUAREZ AERO
2025-09-08,15.9,12.4,CORRIENTES AERO
2025-09-08,16.8,6.1,DOLORES AERO
2025-09-08,15.5,3.2,EL BOLSON AERO
2025-09-08,14.4,-1.1,EL CALAFATE AERO
2025-09-08,19.1,6.8,EL PALOMAR AERO
2025-09-08,,4.5,ESCUELA DE AVIACION MILITAR AERO
2025-09-08,12.7,0.0,ESQUEL AERO
2025-09-08,18.8,6.4,EZEIZA AERO
2025-09-08,19.6,12.5,FORMOSA AERO
2025-09-08,20.4,4.2,GENERAL PICO AERO
2025-09-08,13.0,-1.0,GOBERNADOR GREGORES AERO
2025-09-08,19.8,9.6,GUALEGUAYCHU AERO
2025-09-08,27.4,17.6,IGUAZU AERO
2025-09-08,18.0,13.5,ITUZAINGO
2025-09-08,21.0,0.4,JACHAL
2025-09-08,29.3,5.7,JUJUY AERO
2025-09-08,27.2,5.6,JUJUY U N
2025-09-08,19.2,5.5,JUNIN AERO
2025-09-08,18.2,6.6,LA PLATA AERO
2025-09-08,16.2,1.7,LA QUIACA OBSERVATORIO
2025-09-08,27.1,7.1,LA RIOJA AERO
2025-09-08,19.6,3.2,LABOULAYE AERO
2025-09-08,16.5,7.5,LAS FLORES
2025-09-08,21.6,12.3,LAS LOMITAS
2025-09-08,18.4,-1.3,MALARGUE AERO
2025-09-08,14.2,-1.0,MAQUINCHAO
2025-09-08,17.4,4.8,MAR DEL PLATA AERO
2025-09-08,20.4,5.4,MARCOS JUAREZ AERO
2025-09-08,,6.5,MARIANO MORENO AERO
2025-09-08,21.0,7.0,MENDOZA AERO
2025-09-08,,7.9,MENDOZA OBSERVATORIO
2025-09-08,15.8,13.0,MERCEDES AERO (CTES)
2025-09-08,,7.9,MERLO AERO
2025-09-08,25.0,5.7,METAN
2025-09-08,17.0,13.5,MONTE CASEROS AERO
2025-09-08,18.2,7.9,MORON AERO
2025-09-08,19.4,6.7,NEUQUEN AERO
2025-09-08,19.3,5.7,NUEVE DE JULIO
2025-09-08,,16.0,OBERA
2025-09-08,18.2,1.8,OLAVARRIA AERO
2025-09-08,29.0,8.3,ORAN AERO
2025-09-08,20.9,9.0,PARANA AERO
2025-09-08,15.4,0.3,PASO DE INDIOS
2025-09-08,16.1,14.5,PASO DE LOS LIBRES AERO
2025-09-08,18.4,4.6,PEHUAJO AERO
2025-09-08,13.9,-2.2,PERITO MORENO AERO
2025-09-08,17.6,2.8,PIGUE AERO
2025-09-08,23.0,5.0,PILAR OBSERVATORIO
2025-09-08,19.3,14.2,POSADAS AERO
2025-09-08,21.5,12.5,PRESIDENCIA ROQUE SAENZ PEÑA AERO
2025-09-08,11.5,-0.2,PUERTO DESEADO AERO
2025-09-08,19.0,6.4,PUERTO MADRYN AERO
2025-09-08,16.6,,PUNTA INDIO B.A.
2025-09-08,20.4,9.5,RAFAELA AERO
2025-09-08,21.0,10.7,RECONQUISTA AERO
2025-09-08,16.0,11.1,RESISTENCIA AERO
2025-09-08,22.0,6.2,RIO CUARTO AERO
2025-09-08,9.8,1.3,RIO GALLEGOS AERO
2025-09-08,6.0,-0.1,RIO GRANDE B.A.
2025-09-08,31.0,9.3,RIVADAVIA
2025-09-08,19.9,7.8,ROSARIO AERO
2025-09-08,29.0,1.0,SALTA AERO
2025-09-08,19.2,3.3,SAN ANTONIO OESTE AERO
2025-09-08,18.8,9.2,SAN FERNANDO AERO
2025-09-08,22.0,5.5,SAN JUAN AERO
2025-09-08,9.6,0.7,SAN JULIAN AERO
2025-09-08,20.7,9.6,SAN LUIS AERO
2025-09-08,21.0,7.3,SAN MARTIN (MZA)
